timestamp,steering,offset
1751030137.7596145,-0.054,0.166
1751030137.859231,-0.057,0.0
1751030137.959358,-0.058,0.226
1751030138.059456,-0.061,0.15
1751030138.1887212,-0.064,-0.151
1751030138.25923,-0.066,0.255
1751030138.3592882,-0.067,-0.223
1751030138.4594371,-0.067,0.342
1751030138.5594234,-0.067,-0.28
1751030138.6593359,-0.067,0.353
1751030138.7593343,-0.07,-0.337
1751030138.8593826,-0.073,-0.292
1751030138.9594455,-0.074,-0.358
1751030139.0593588,-0.074,-0.264
1751030139.1843274,-0.074,0.331
1751030139.259348,-0.074,-0.208
1751030139.3595762,-0.074,0.31
1751030139.4594471,-0.074,0.147
1751030139.5593762,-0.07,0.0
1751030139.659949,-0.06,0.199
1751030139.759775,-0.048,0.257
1751030139.8593552,-0.035,0.417
1751030139.9594166,-0.023,0.513
1751030140.0597873,-0.017,0.631
1751030140.2173948,-0.015,0.784
1751030140.259573,-0.015,0.791
1751030140.3594244,-0.015,0.847
1751030140.4599752,-0.015,0.877
1751030140.5597675,-0.015,0.91
1751030140.6593714,-0.015,0.897
1751030140.7592251,-0.015,0.893
1751030140.8594494,-0.019,0.834
1751030140.9599333,-0.026,0.806
1751030141.0596256,-0.034,0.717
1751030141.1844997,-0.044,0.612
1751030141.2592237,-0.049,0.559
1751030141.3594198,-0.053,0.459
1751030141.4594193,-0.057,0.411
1751030141.5596206,-0.061,0.319
1751030141.6598718,-0.066,0.3
1751030141.7592149,-0.071,0.205
1751030141.859552,-0.073,0.236
1751030141.9593258,-0.071,0.156
1751030142.0595448,-0.065,0.22
1751030142.1869664,-0.052,0.166
1751030142.2593145,-0.042,0.25
1751030142.3597589,-0.035,0.171
1751030142.4599094,-0.027,0.196
1751030142.5593722,-0.021,0.229
1751030142.6593893,-0.015,0.275
1751030142.7597842,-0.012,0.322
1751030142.859261,-0.01,0.385
1751030142.9592342,-0.01,0.454
1751030143.0592911,-0.01,0.531
1751030143.1986494,-0.01,0.635
1751030143.259976,-0.01,0.688
1751030143.3598843,-0.01,0.765
1751030143.4592278,-0.01,0.86
1751030143.5595543,-0.01,0.944
1751030143.6592734,-0.006,1.047
1751030143.7597206,-0.002,1.155
1751030143.859307,-0.003,1.241
1751030143.9604888,-0.005,1.346
1751030144.0595508,-0.005,1.451
1751030144.177633,-0.004,1.582
1751030144.2597172,-0.004,1.669
1751030144.3595262,-0.004,-1.745
1751030144.4594476,-0.004,-1.638
1751030144.559227,-0.005,-1.532
1751030144.6593752,-0.009,-1.429
1751030144.7596712,-0.013,-1.323
1751030144.8599381,-0.015,-1.236
1751030144.9593492,-0.018,-1.121
1751030145.0592818,-0.021,-1.004
1751030145.1858652,-0.025,-0.855
1751030145.259308,-0.027,-0.778
1751030145.359364,-0.031,-0.647
1751030145.459477,-0.035,-0.513
1751030145.5593503,-0.037,-0.375
1751030145.6596358,-0.039,-0.256
1751030145.7593536,-0.041,-0.102
1751030145.8596623,-0.042,0.0
1751030145.9592671,-0.046,0.0
1751030146.059467,-0.048,0.0
1751030146.1952507,-0.048,0.114
1751030146.259317,-0.048,0.0
1751030146.3593762,-0.049,0.103
1751030146.4599948,-0.052,0.0
1751030146.5594087,-0.055,0.108
1751030146.6592405,-0.058,0.0
1751030146.7598915,-0.06,-0.108
1751030146.859467,-0.062,0.0
1751030146.959568,-0.064,-0.133
1751030147.0595467,-0.065,-0.199
1751030147.1748633,-0.068,-0.292
1751030147.2598054,-0.07,-0.357
1751030147.3594575,-0.073,-0.259
1751030147.4593642,-0.076,0.0
1751030147.5593877,-0.079,-0.139
1751030147.659391,-0.083,0.571
1751030147.7593136,-0.088,-0.782
1751030147.859252,-0.092,0.135
1751030147.9593318,-0.094,0.488
1751030148.0593956,-0.095,1.192
1751030148.194372,-0.095,-1.643
1751030148.259774,-0.096,1.572
1751030148.359342,-0.098,1.406
1751030148.4595838,-0.102,1.231
1751030148.5593686,-0.106,1.079
1751030148.6593723,-0.109,0.877
1751030148.7596257,-0.113,-0.369
1751030148.859677,-0.116,0.252
1751030148.9592297,-0.122,0.262
1751030149.0596,-0.131,0.0
1751030149.1894324,-0.14,-0.252
1751030149.2601306,-0.144,-0.411
1751030149.3594837,-0.148,-0.636
1751030149.4595797,-0.152,-0.753
1751030149.5593288,-0.158,0.192
1751030149.6599946,-0.162,0.276
1751030149.7599943,-0.164,0.727
1751030149.8592944,-0.161,1.04
1751030149.9594505,-0.148,1.308
1751030150.0599291,-0.132,1.463
1751030150.1771903,-0.096,1.589
1751030150.2595863,-0.08,1.612
1751030150.359783,-0.06,1.593
1751030150.4598339,-0.058,1.551
1751030150.559518,-0.063,-1.502
1751030150.6592767,-0.067,-1.43
1751030150.7592351,-0.067,-1.361
1751030150.859303,-0.067,-1.261
1751030150.960132,-0.066,-1.171
1751030151.0593936,-0.063,-1.042
1751030151.189372,-0.054,-0.869
1751030151.259405,-0.046,-0.78
1751030151.3597877,-0.032,-0.659
1751030151.4593923,-0.015,-0.506
1751030151.5599146,0.0,-0.378
1751030151.659509,0.018,-0.228
1751030151.7593231,0.031,-0.114
1751030151.8593779,0.041,0.0
1751030151.9594789,0.047,0.122
1751030152.0594823,0.053,0.234
1751030152.178759,0.058,0.345
1751030152.2594852,0.061,0.405
1751030152.359796,0.065,0.474
1751030152.4597323,0.069,0.536
1751030152.5597112,0.07,0.595
1751030152.659224,0.07,0.632
1751030152.7593741,0.07,0.666
1751030152.859677,0.07,0.684
1751030152.9594977,0.07,0.698
1751030153.0595279,0.07,0.701
1751030153.1938186,0.068,0.694
1751030153.2594166,0.067,0.685
1751030153.3597896,0.066,0.666
1751030153.4592328,0.066,0.644
1751030153.5596604,0.065,0.617
1751030153.6594884,0.062,0.578
1751030153.759615,0.06,0.541
1751030153.8593812,0.057,0.487
1751030153.9598124,0.055,0.442
1751030154.0598032,0.05,0.38
1751030154.197758,0.047,0.292
